seed =         -618624
Nucleotide Site Summary Data
Noncoding Sites   = 11249134    % =  47.8
TAD Boundary Sites=   891392    % =   3.8
Gene Sites        = 11369516    % =  48.4
Sum Sites         = 23510042

Summary of Simulation Data for 13 BPs
TAD Hits    Sim Numbers           Prob     Cumul Prob  1-(Cumul Prob)
       0         371378    0.371378000    0.371378000    0.628622000
       1         382165    0.382165010    0.753543010    0.246457000
       2         181502    0.181502000    0.935045000    0.064955000
       3          52733    0.052733000    0.987778000    0.012221992
       4          10540    0.010540000    0.998318010    0.001681983
       5           1500    0.001500000    0.999818020    0.000181973
       6            168    0.000168000    0.999986100    0.000013947
       7             14    0.000014000    1.000000000    0.000000000
       8              0    0.000000000    1.000000000    0.000000000
       9              0    0.000000000    1.000000000    0.000000000
      10              0    0.000000000    1.000000000    0.000000000
      11              0    0.000000000    1.000000000    0.000000000
      12              0    0.000000000    1.000000000    0.000000000
      13              0    0.000000000    1.000000000    0.000000000
Total           1000000    1.000000000
